date,time,open,high,low,close,volume
2016-01-27,15:00:00,394.53,394.53,393.57,394.16,76.25919068000007
2016-01-27,16:00:00,394.13,394.74,393.58,394.74,58.87940905000001
2016-01-27,17:00:00,394.74,396.68,394.74,395.42,108.20474668000013
2016-01-27,18:00:00,395.42,395.42,394.27,394.34,52.56099007999997
2016-01-27,19:00:00,394.34,394.67,393.89,394.67,79.30178973000005
2016-01-27,20:00:00,394.63,394.99,394.28,394.59,47.495119770000024
2016-01-27,21:00:00,394.6,395.0,394.28,395.0,83.01424091000015
2016-01-27,22:00:00,395.0,395.0,393.31,393.34,66.73337695000001
2016-01-27,23:00:00,393.35,394.23,381.96,385.37,233.76472444999902
2016-01-28,00:00:00,385.36,385.36,377.43,383.53,204.3526185199995
2016-01-28,01:00:00,382.93,384.91,381.25,382.56,61.51244408999986
2016-01-28,02:00:00,382.56,383.99,382.13,383.46,54.85926965000001
2016-01-28,03:00:00,383.44,384.76,381.37,382.26,46.258587169999984
2016-01-28,04:00:00,382.25,383.45,381.99,383.19,32.24845387000002
2016-01-28,05:00:00,383.31,384.76,383.31,384.71,16.74349015999999
2016-01-28,06:00:00,384.68,384.76,384.16,384.46,23.00820160000003
2016-01-28,07:00:00,384.45,384.62,383.1,383.75,20.861541140000003
2016-01-28,08:00:00,383.75,384.32,383.58,383.97,24.91314200000004
2016-01-28,09:00:00,383.98,384.52,382.77,382.99,59.93477652000003
2016-01-28,10:00:00,383.03,383.74,383.03,383.41,56.71376898999999
2016-01-28,11:00:00,383.56,385.16,383.52,384.03,132.95609886000008
2016-01-28,12:00:00,383.97,384.91,383.89,384.69,66.39339448000001
2016-01-28,13:00:00,384.7,384.75,382.56,382.86,81.04583590999998
2016-01-28,14:00:00,382.86,382.96,381.46,381.99,139.13606086000001
2016-01-28,15:00:00,381.99,382.98,381.01,382.98,91.30066676000004
2016-01-28,16:00:00,382.98,383.25,382.49,382.99,133.97340695000003
2016-01-28,17:00:00,382.91,383.0,382.78,382.83,108.81045245
2016-01-28,18:00:00,382.83,382.98,382.15,382.39,56.84159314000002
2016-01-28,19:00:00,382.27,382.47,380.0,380.03,85.14285696000006
2016-01-28,20:00:00,380.01,380.27,379.48,379.62,115.48754875000007
2016-01-28,21:00:00,379.63,379.69,368.97,370.23,301.2626740699995
2016-01-28,22:00:00,369.67,370.9,367.6,369.99,261.82532482999994
2016-01-28,23:00:00,369.99,372.93,369.99,370.07,137.60370699999987
2016-01-29,00:00:00,370.06,374.9,363.27,372.3,153.93735461999998
2016-01-29,01:00:00,372.53,376.73,371.94,374.91,120.31553506000007
2016-01-29,02:00:00,374.96,375.85,371.04,374.87,76.55732400000005
2016-01-29,03:00:00,375.13,376.41,374.12,375.9,63.56235717999999
2016-01-29,04:00:00,375.86,377.77,375.56,376.94,26.22054247999999
2016-01-29,05:00:00,376.53,376.76,375.36,375.44,35.534089200000025
2016-01-29,06:00:00,375.55,380.93,375.13,378.89,100.58447511000003
2016-01-29,07:00:00,378.94,385.0,378.94,382.76,188.64060163999974
2016-01-29,08:00:00,382.58,385.0,382.39,384.49,28.814330080000033
2016-01-29,09:00:00,384.5,384.6,382.98,383.43,64.13234709999999
2016-01-29,10:00:00,383.45,383.49,380.41,380.41,79.08259603
2016-01-29,11:00:00,380.41,381.0,379.05,379.05,95.98895446000014
2016-01-29,12:00:00,379.02,379.77,378.78,379.77,240.06808207999978
2016-01-29,13:00:00,379.72,379.75,378.7,378.7,166.75287759999998
2016-01-29,14:00:00,378.62,378.71,377.43,377.77,85.15734214000014
2016-01-29,15:00:00,377.77,378.5,377.55,377.7,145.59569643999998
2016-01-29,16:00:00,377.71,377.82,375.26,375.26,47.14439870000002
2016-01-29,17:00:00,375.26,375.79,373.7,374.14,78.64171918000002
2016-01-29,18:00:00,374.21,375.87,374.01,374.61,57.40181368999996
2016-01-29,19:00:00,374.61,381.34,372.22,381.34,836.5996722700002
2016-01-29,20:00:00,381.34,381.5,377.84,378.68,93.7385867800001
2016-01-29,21:00:00,378.68,380.67,377.99,380.67,102.19226346999999
2016-01-29,22:00:00,380.68,381.27,379.48,380.57,69.20512453000003
2016-01-29,23:00:00,380.57,380.57,379.53,379.78,43.458665349999954
2016-01-30,00:00:00,379.77,380.18,378.11,378.12,50.84578780999998
2016-01-30,01:00:00,378.13,379.2,376.14,378.77,46.166914369999986
2016-01-30,02:00:00,378.77,380.34,378.64,379.41,29.862380820000013
2016-01-30,03:00:00,379.61,382.01,379.61,380.86,83.58943052000005
2016-01-30,04:00:00,380.79,381.58,380.24,380.31,27.614241280000012
2016-01-30,05:00:00,380.4,380.44,379.53,380.43,49.45808239999998
2016-01-30,06:00:00,380.29,380.43,379.35,379.82,31.11125248999999
2016-01-30,07:00:00,379.83,379.93,378.61,378.97,22.649383299999993
2016-01-30,08:00:00,379.01,379.48,378.54,379.13,52.829472179999996
2016-01-30,09:00:00,379.0,379.0,376.97,378.71,16.466179999999998
2016-01-30,10:00:00,378.54,378.6,377.68,378.52,35.84225311999999
2016-01-30,11:00:00,378.56,379.27,378.09,379.01,30.669017200000024
2016-01-30,12:00:00,379.02,379.44,378.65,379.44,55.03141106999999
2016-01-30,13:00:00,379.5,379.74,377.22,378.27,41.712444020000014
2016-01-30,14:00:00,378.27,378.27,376.71,377.59,57.91349958999994
2016-01-30,15:00:00,377.58,379.78,377.58,378.83,46.10991658999998
2016-01-30,16:00:00,378.85,379.23,377.13,379.23,63.46042472999998
2016-01-30,17:00:00,379.24,379.42,378.34,378.65,42.23203769000002
2016-01-30,18:00:00,378.53,380.5,378.32,380.31,37.13914480000002
2016-01-30,19:00:00,380.2,382.0,378.34,378.69,108.18638433000022
2016-01-30,20:00:00,378.68,379.49,378.05,378.46,72.58092115000001
2016-01-30,21:00:00,378.46,379.73,378.37,379.12,39.020967870000014
2016-01-30,22:00:00,379.15,380.51,378.33,380.51,71.51401104
